episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description
199,10,3,"""Enter the Five Kage!""Transcription: ""Gokage Tōjō!"" (Japanese: 五影登場!)",Naoki Horiuchi,Katsuhiko Chiba,2011-02-17,2013-07-27,7.6,312,Kage from each nation set out to attend the Five Kage Summit.
200,10,4,"""Naruto's Plea""Transcription: ""Naruto no Tangan"" (Japanese: ナルトの嘆願)",Shuu Watanabe,Shin Yoshida,2011-02-24,2013-08-03,7.7,322,"To prevent the cycle of hatred bound to occur should Sasuke be killed, Naruto goes to the Raikage and begs him to forgive Sasuke, but the Raikage quickly dismisses the request."
201,10,5,"""Painful Decision""Transcription: ""Kujū no Ketsudan"" (Japanese: 苦渋の決断)",Maki Odaira,Yasuyuki Suzuki,2011-03-03,2013-08-10,8,331,"Mifune calls for the formation of the Allied Shinobi Forces to counter the Akatsuki and proposes the Hokage to lead them. Meanwhile, Sai reveals Naruto's actions to Sakura."
202,10,6,"""Racing Lightning""Transcription: ""Hashiru Ikazuchi"" (Japanese: 疾走る雷)",Shigeru Mita,Katsuhiko Chiba,2011-03-10,2013-08-17,8.2,338,"Madara, who has taken an interest in Naruto, makes a sudden appearance before Naruto and reveals the truth behind Itachi's actions. Meanwhile, the samurai learn of Sasuke and his team Taka's entry into the Land of Iron, and battle ensues between the two groups."
203,10,7,"""Sasuke's Ninja Way""Transcription: ""Sasuke no Nindō"" (Japanese: サスケの忍道)",Kanryou Kishikawa,Yasuyuki Suzuki,2011-03-17,2013-08-24,8.5,362,"The truth behind Itachi's actions leaves Naruto, Kakashi, and Yamato in shock. Meanwhile in the Land of Iron, Sasuke and the Raikage are fighting a battle to the death when Gaara, the Kazekage, intervenes."
204,10,8,"""Power of the Five Kage""Transcription: ""Gokage no Chikara"" (Japanese: 五影の実力)",Ken'ichi Nishida,Yuka Miyata,2011-03-24,2013-08-31,8.4,340,"Having blocked the combined attacks of Gaara, Temari, Kankuro, and Darui with his Susano'o, Sasuke goes after Danzo."
205,10,9,"""Declaration of War""Transcription: ""Sensenfukoku"" (Japanese: 宣戦布告)",Kiyomu Fukuda,Masahiro Hikokubo,2011-03-31,2013-09-07,8.3,338,Madara reveals the origin of the tailed beasts; the TEN TAILS.
206,10,10,"""Sakura's Feelings""Transcription: ""Sakura no Omoi"" (Japanese: サクラの想い)",Hiroshi Kimura,Shin Yoshida,2011-04-07,2013-09-14,7.3,337,"The Kage respond to Madara's declaration of war by forming the Allied Shinobi Forces, with the Raikage as their leader. Meanwhile, Sakura arrives in the Land of Iron to speak with Naruto, but her confession surprises him. Elsewhere, Kisame appears before Killer Bee and his master as an unwelcome guest."
207,10,11,"""The Tailed Beast vs. The Tailless Tailed Beast""Transcription: ""Bijū VS O no nai Bijū"" (Japanese: 尾獣VS尾のない尾獣)",Naoki Horiuchi,Katsuhiko Chiba,2011-04-14,2013-09-21,8.3,340,"Killer Bee engages in a deadly battle against Kisame, who has come to capture the Eight Tails. Kisame reveals to Killer Bee that his weapon, Samehada, possesses the ability to rob and convert enemy chakra into the wielder's own strength. Now infused with more strength, Kisame shows his true power as the Tailless Tailed Beast. Elsewhere, while in pursuit of Danzo, Ao falls into Foo's deadly trap."
208,10,12,"""As One's Friend""Transcription: ""Tomo to shite"" (Japanese: 親友として)",Shuu Watanabe,Yasuyuki Suzuki,2011-04-21,2013-09-28,7.8,323,"As Sai rats out on Sakura, Naruto hyperventilates. Meanwhile, Madara and Sasuke make their assault on Danzo and his bodyguards."
209,10,13,"""Danzo's Right Arm""Transcription: ""Danzō no Migiude"" (Japanese: ダンゾウの右腕)",Yoshihiro Sugai,Daisuke Watanabe,2011-04-28,2013-10-05,8.5,396,"Kakashi races to stop Sakura from fighting Sasuke herself leading Narutoto over think the situation and pass out. Meanwhile, Sasuke battles Danzo, but there's something strange about his opponent."
210,10,14,"""The Forbidden Visual Jutsu""Transcription: ""Kinjirareta Dōjutsu"" (Japanese: 禁じられた瞳術)",Masato Kitagawa,Shin Yoshida,2011-05-05,2013-10-12,8.5,387,"Danzo's uncanny jutsu prevents Sasuke from landing a clean hit on his enemy. As Karin attempts to analyze Danzo's jutsu, Madara recognizes it as Izanagi, the Uchiha's forbidden Visual Jutsu and ultimate genjutsu technique that enables the user to control the space between fantasy and reality."
211,10,15,"""Danzo Shimura""Transcription: ""Shimura Danzō"" (Japanese: 志村ダンゾウ)","Ken'ichi Nishida,Hayato Date",Katsuhiko Chiba,2011-05-12,2013-10-19,7.9,540,"Danzo believes he's won the battle against Sasuke. Little does he realize, Sasuke placed him under genjutsu before they last exchanged blows. Not knowing his Izanagi has already expired, Danzo finds himself severely wounded and beginning to lose control over the First Hokage's cells inside of him. Still determined to survive and achieve his goal, Danzo decides to take Karin as a hostage."
212,10,16,"""Sakura's Resolve""Transcription: ""Sakura no Kakugo"" (Japanese: サクラの覚悟)",Hideaki Uehara,Yasuyuki Suzuki,2011-05-19,2013-10-19,6.9,301,"Having tracked down Sasuke's whereabouts with Kiba's nose, Sakura attempts to put her allies to sleep and carry out the task of killing Sasuke herself. As Sakura heads toward Sasuke, she begins to recollect her fond memories of Team 7."
213,10,17,"""Lost Bonds""Transcription: ""Ushinawareta Kizuna"" (Japanese: 失われた絆)",Mitsutoshi Satou,Daisuke Watanabe,2011-05-26,2013-10-26,6.3,300,"Memories from his childhood course through Naruto's mind as he rests to recover from his hyperventilation. Now realizing what it means to gain something dear and then lose it, Naruto sneaks out of the inn to follow behind Sakura and Kakashi to find Sasuke."
214,10,18,"""The Burden""Transcription: ""Seōbeki Omoni"" (Japanese: 背負うべき重荷)",Kiyomu Fukuda,Masahiro Hikokubo,2011-06-02,2013-11-02,7.1,305,"Sakura tells Sasuke that she wishes to desert the village and join him. A skeptical Sasuke tells Sakura he will believe her if she can finish off Karin. When Sakura hesitates to do so, Sasuke attacks her with Chidori but is stopped by Kakashi, who has arrived in the nick of time."
215,10,19,"""Two Fates""Transcription: ""Shukumei no Futari"" (Japanese: 宿命のふたり)",Hiroshi Kimura,Shin Yoshida,2011-06-09,2013-11-09,7.4,310,"Naruto reproaches Sasuke for attempting to kill Sakura. Then Sasuke reveals that he killed Danzo with his own hands. He goes on to declare his intent to purify the Uchiha Clan's name by annihilating the Hidden Leaf, whom he holds responsible for dishonoring the Uchiha Clan. Naruto, ignoring Kakashi's order to leave with Sakura, charges toward Sasuke with his Rasengan."
216,10,20,"""High-Level Shinobi""Transcription: ""Ichiryū no Shinobi"" (Japanese: 一流の忍)",Ken'ichi Nishida,Shin Yoshida,2011-06-16,2013-11-16,7.6,329,"After White Zetsu prevents Naruto from defeating Sasuke, Naruto throws his goal of becoming Hokage away and refuses to kill Sasuke just to end his life as a renegade."
217,10,21,"""The Infiltrator""Transcription: ""Sennyūsha"" (Japanese: 潜入者)",Daisuke Tsukushi,Katsuhiko Chiba,2011-06-23,2013-11-23,7.5,306,"Killer Bee returns to the Hidden Cloud Village to the delight of Omoi and Karui. He has brought Kisame's sword, Samehada, with him. Bee believes the sword has taken a liking to him but is unaware that this is all just part of the Akatsuki's plan. Meanwhile, Sai informs the Leaf Shinobi of Danzo's fate."
218,10,22,"""The Five Great Nations Mobilize""Transcription: ""Ugokidasu Taikoku"" (Japanese: 動き出す大国)",Masato Kitagawa,Yuka Miyata,2011-06-30,2013-11-30,7.3,306,"The formation of the Allied Shinobi Forces is ratified by the Feudal Lords of the Five Great Nations. Each Kage returns to their village to prepare for the coming war. Meanwhile, Naruto has returned to the Leaf Village and asks Shikamaru to gather up his friends."
219,10,23,"""Kakashi Hatake, the Hokage""Transcription: ""Hokage Hatake Kakashi"" (Japanese: 火影はたけカカシ)",Yoshihiro Sugai,Katsuhiko Chiba,2011-07-07,2013-12-07,8.1,347,The Elder declares Kakashi Hatake as the 6th Hokage.
220,10,24,"""Prophecy of the Great Lord Elder""Transcription: ""Ōgama Sennin no Yogen"" (Japanese: 大ガマ仙人の予言)",Kanryou Kishikawa,Yasuyuki Suzuki,2011-07-21,2013-12-14,7.3,300,"Naruto is summoned to Mt. Myoboku to face the Great Elder. Meanwhile, Tsunade calls a meeting to discuss the inevitable war with the Akatsuki."
221,10,25,"""Storage""Transcription: ""Kurairi"" (Japanese: 蔵入り)",Naoki Horiuchi,Masahiro Hikokubo,2011-07-28,2013-12-21,7.9,314,Anko and a group on Leaf ninja discover Madara's location. At the same time Kabuto requests partnership with Madara in the upcoming war. Madara is unable to say no. Meanwhile Naruto continues to remain in Mt. Myobuko.
222,11,1,"""The Five Kage's Decision""Transcription: ""Gokage no Ketsudan"" (Japanese: 五影の決断)",Kiyomu Fukuda,Shin Yoshida,2011-07-28,2013-12-28,7.2,292,"The five Kage make the decision to keep Bee and Naruto out of the war. Meanwhile, Naruto and Yamato are taken to a remote island for training."
223,11,2,"""The Young Man and the Sea""Transcription: ""Seinen to Umi"" (Japanese: 青年と海)",Mitsutoshi Satou,Junki Takegami,2011-08-04,2014-01-04,5.8,228,"Naruto, Yamato, Might Guy and Aoba are ready to depart for the remote island. When suddenly, Aoba and Guy are attacked by a giant marlin."
224,11,3,"""The Ninja of Benisu""Transcription: ""Benisu no Shōnin"" (Japanese: 紅州の商忍)","Yoshihiro Sugai,Hiroshi Kataoka",Katsuhiko Chiba,2011-08-11,2014-01-11,5.6,219,"Guy becomes extremely seasick resulting in a stop at a nearby island. Naruto finds Sakura, Ino and Choji who are on their own special mission."
225,11,4,"""The Cursed Ghost Ship""Transcription: ""Norowareta Yūreisen"" (Japanese: 呪われた幽霊船)",Yutaka Kagawa,Masahiro Hikokubo,2011-08-18,2014-01-18,5.4,221,Naruto and the crew encounter a ghost ship. After boarding Naruto comes into contact with a boy called Hishaku who's shipmates were killed by a giant sea creature.
226,11,5,"""Battleship Island""Transcription: ""Senkan no Shima"" (Japanese: 戦艦の島)",Maki Odaira,Yasuyuki Suzuki,2011-08-25,2014-01-25,5.2,244,"Naruto's ship gets caught in a unique storm. The storm is the work of a group of savage pirates. After barely escaping their clutches, the crew wash up on an island which seems to have a devastating history."
227,11,6,"""The Forgotten Island""Transcription: ""Bōkyaku no Shima"" (Japanese: 忘却の島)",Masahito Otani,Katsuhiko Chiba,2011-09-01,2014-02-01,5.5,220,"Naruto's ship is caught in another storm, when suddenly Guy is taken by a giant bird to a nearby island. After investigating the island Naruto finds that everything is a little bigger than normal."
228,11,7,"""Fight! Rock Lee!""Transcription: ""Tatakae Rokku Rī!"" (Japanese: 闘えロック・リー!)",Kanryou Kishikawa,Masahiro Hikokubo,2011-09-08,2014-02-08,5.5,218,Guy remembers a terrible incident that may ruin Rock Lee's view of him. He continues training Rock Lee but the training all seems to relate to the terrible incident.
229,11,8,"""Eat or Die! Mushrooms from Hell!""Transcription: ""Kuu ka Kuwareru ka! Odoru Kinoko Jigoku"" (Japanese: 食うか食われるか!踊るキノコ地獄)",Kiyomu Fukuda,Shin Yoshida,2011-09-22,2014-02-15,5.3,222,Naruto's ship stops at a port to resupply. With no food everyone is starving. All seems fixed when Naruto purchases some Mushrooms. But that was only the start of a sudden flow of problems.
230,11,9,"""Revenge of the Shadow Clones""Transcription: ""Kage no Gyakushū"" (Japanese: 影の逆襲)","Hiroshi Kataoka,Yoshihiro Sugai",Yasuyuki Suzuki,2011-09-29,2014-02-22,5.6,217,"Naruto's ship is caught in another storm. This time Naruto uses his shadow clones to defend the ship from harm. After the storm, Naruto becomes his own worst enemy and his shadow clones turn on him."
231,11,10,"""The Closed Route""Transcription: ""Tozasareta Kōro"" (Japanese: 閉ざされた航路)",Ken'ichi Nishida,"Junki Takegami,Daisuke Watanabe",2011-10-06,2014-03-01,5.5,215,Naruto's ship is caught in an obstacle field of reefs and a whirlpools. Shikamaru is along for the ride and the situation helps teach him a lesson.
232,11,11,"""The Girls' Get-Together""Transcription: ""Konoha no Joshikai"" (Japanese: 木ノ葉の女子会)",Shuu Watanabe,Katsuhiko Chiba,2011-10-13,2014-03-08,6.5,219,"Tenten gets all the girls together to reminisce. Kiba also holds a get together for the boys to reminisce. meanwhile, Tsunade meets with the Fuedal Lord."
233,11,12,"""Naruto's Imposter""Transcription: ""Sanjō, Nise? Naruto"" (Japanese: 参上、偽?ナルト)",Naoki Horiuchi,Shin Yoshida,2011-10-20,2014-03-15,5.6,214,Naruto's reputation is on the line as he is faced with a law breaking impostor claiming to be him.
234,11,13,"""Naruto's Favorite Pupil""Transcription: ""Naruto no Manadeshi"" (Japanese: ナルトの愛弟子)",Gorou Sessha,Junki Takegami,2011-10-27,2014-03-22,6.3,227,"Konohamaru seeking to prove himself as a powerful ninja, challenges Temari to a battle. Things heat up as Temari taunts Konohamaru."
235,11,14,"""The Kunoichi of Nadeshiko Village""Transcription: ""Nadeshiko no Kunoichi"" (Japanese: 撫子のくノ一)",Jun'ichi Fujise,Yuka Miyata,2011-11-03,2014-03-29,5.9,217,Kokuyo craves leadership of a village through Shizuka's hand in marriage. Shizuka rejects his offers many times. Naruto then is forced into a battle for Shizuka's hand in marriage.
236,11,15,"""Friends You Can Count On""Transcription: ""Nakama no Senaka"" (Japanese: 仲間の背中)",Tomoya Tanaka,Shin Yoshida,2011-11-10,2014-04-05,6,211,"Shino begins to reminisce about a mission he once took part in with Naruto, in which he learns the true meaning of friends and teammates."
237,11,16,"""Ah, My Hero Lady Tsunade!""Transcription: ""Aa, Akogare no Tsunade-sama"" (Japanese: ああ、憧れの綱手様)",Hisashi Ishii,Katsuhiko Chiba,2011-11-24,2014-04-12,6.1,210,"Tenten reminisces about the time when she craved to be like Lady Tsunade, only finding out that all her characteristics didn't align with Tsunade's."
238,11,17,"""Sai's Day Off""Transcription: ""Sai no Kyūsoku"" (Japanese: サイの休息)",Masaaki Kumagai,Yasuyuki Suzuki,2011-12-01,2014-04-19,5.9,212,"Sai is given the day off. He reminisces on his bonds with his friends, and ends up using his artistic skills to display his feeling of the the bond."
239,11,18,"""The Legendary Ino-Shika-Cho""Transcription: ""Densetsu no Inoshikachō"" (Japanese: 伝説の猪鹿蝶)",Kiyomu Fukuda,Masahiro Hikokubo,2011-12-08,2014-04-26,6.1,216,"Shikamaru, Ino and Choji reminisce on their time with Kosuke Maruboshi, and their time creating the Ino-Shika-Cho technique."
240,11,19,"""Kiba's Determination""Transcription: ""Kiba no Ketsui"" (Japanese: キバの決意)",Ken'ichi Nishida,Daisuke Watanabe,2011-12-15,2014-05-03,5.8,214,Kiba is upset at the overbearing success of Naruto and seeks out Kakashi to help him train. Kakashi summons his dogs to spar with Kiba and Akamaru. The pair retreat to a spot that Kiba knows very well.
241,11,20,"""Kakashi, My Eternal Rival!""Transcription: ""Kakashi, Waga Eien no Raibaru yo"" (Japanese: カカシ、我が永遠のライバルよ)",Yuusuke Onoda,Junki Takegami,2011-12-22,2014-05-10,6.7,228,Guy is extremely sea sick and accidentally sends an SOS turtle to get Kakashi's help.
242,11,21,"""Naruto's Vow""Transcription: ""Naruto no Chikai"" (Japanese: ナルトの誓い)",Naoki Horiuchi,Yuka Miyata,2011-12-28,2014-05-17,6.4,218,"During a stop for supplies, Naruto meets Akatsuchi and Kurotsuchi of the Hidden Stone. They are on an important mission to deliver a letter from the Tsuchikage to the Mizukage."
243,12,1,"""Land Ahoy! Is this the Paradise Island?""Transcription: ""Jōriku! Rakuen no Shima?"" (Japanese: 上陸! 楽園の島?)",Hiroshi Yamazaki,Katsuhiko Chiba,2012-01-05,2014-05-24,7.1,304,Naruto finally arrives to the island and meet Killer B.
